timestamp,csi_data
2024-03-04 20:12:44,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 3, 16, 2, 16, 2, 15, 2, 16, 1, 16, 0, 16, 0, 16, -1, 16, -1, 16, -1, 16, -2, 16, -2, 16, -2, 15, -2, 15, -2, 15, -2, 14, -2, 15, -2, 14, -2, 14, -2, 13, -2, 13, -3, 13, -2, 13, -2, 13, -2, 13, 0, 0, -2, 12, -1, 12, -2, 12, -1, 13, -1, 12, -1, 12, 0, 12, 0, 11, 1, 11, 0, 11, 1, 11, 1, 11, 1, 11, 1, 11, 1, 11, 1, 10, 2, 11, 2, 10, 3, 11, 2, 10, 3, 11, 3, 10, 3, 10, 3, 10, 3, 10, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:47,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 10, -16, 9, -16, 8, -16, 8, -16, 7, -16, 7, -16, 6, -16, 6, -15, 5, -16, 5, -15, 5, -15, 4, -15, 4, -15, 3, -15, 4, -14, 4, -15, 4, -14, 3, -15, 3, -14, 4, -14, 4, -13, 3, -13, 3, -13, 3, -13, 4, -13, 4, 0, 0, -12, 4, -11, 4, -12, 4, -11, 4, -11, 4, -11, 5, -10, 5, -11, 5, -10, 5, -10, 5, -10, 5, -10, 5, -9, 6, -9, 6, -9, 6, -9, 6, -8, 6, -8, 7, -8, 7, -8, 7, -8, 8, -7, 8, -7, 7, -7, 7, -7, 8, -7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:50,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 14, 11, 14, 11, 13, 12, 13, 12, 12, 13, 12, 13, 11, 14, 12, 13, 11, 14, 12, 14, 11, 13, 11, 14, 10, 13, 10, 13, 10, 13, 10, 13, 9, 12, 9, 13, 9, 13, 9, 13, 9, 12, 8, 12, 9, 12, 8, 11, 9, 11, 0, 0, 9, 10, 9, 10, 9, 10, 8, 9, 8, 10, 9, 9, 8, 9, 9, 8, 9, 7, 8, 7, 9, 7, 9, 6, 9, 6, 9, 6, 9, 6, 9, 5, 9, 5, 9, 5, 9, 5, 9, 4, 9, 4, 9, 4, 9, 3, 9, 3, 9, 2, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:53,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 14, -6, 15, -7, 14, -7, 14, -8, 13, -8, 13, -8, 13, -9, 12, -8, 12, -9, 12, -9, 12, -9, 11, -8, 11, -9, 11, -9, 11, -9, 11, -9, 10, -8, 10, -9, 10, -8, 10, -8, 9, -8, 9, -8, 9, -7, 9, -7, 9, -8, 9, 0, 0, -7, 9, -6, 9, -6, 9, -6, 9, -6, 9, -5, 9, -6, 9, -5, 8, -5, 9, -5, 9, -4, 9, -4, 9, -3, 9, -3, 9, -3, 9, -3, 9, -3, 9, -2, 9, -2, 9, -2, 9, -2, 9, -2, 9, -1, 9, 0, 9, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:56,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 20, -12, 20, -13, 19, -14, 19, -15, 19, -15, 18, -15, 17, -15, 18, -16, 17, -16, 16, -16, 16, -15, 16, -16, 15, -16, 14, -16, 14, -15, 14, -16, 14, -15, 14, -15, 13, -15, 13, -14, 12, -14, 13, -15, 13, -14, 13, -13, 13, -13, 12, 0, 0, -12, 13, -12, 13, -11, 12, -11, 13, -11, 13, -11, 13, -10, 13, -10, 13, -9, 12, -9, 13, -9, 13, -9, 13, -8, 13, -8, 13, -7, 14, -7, 14, -6, 14, -6, 14, -6, 14, -6, 14, -5, 14, -5, 14, -5, 15, -4, 15, -4, 15, -4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:59,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -7, -19, -8, -17, -8, -18, -9, -17, -9, -17, -9, -16, -10, -16, -10, -16, -10, -16, -10, -15, -10, -15, -10, -14, -10, -15, -11, -14, -11, -13, -10, -14, -11, -13, -10, -14, -11, -13, -10, -13, -10, -13, -10, -13, -9, -13, -10, -13, -9, -13, -9, 0, 0, -12, -8, -12, -8, -12, -7, -12, -7, -13, -7, -12, -7, -12, -6, -12, -7, -12, -6, -12, -5, -12, -5, -13, -5, -12, -5, -12, -4, -12, -4, -12, -4, -12, -3, -12, -3, -12, -3, -12, -3, -12, -2, -12, -2, -12, -2, -12, -1, -12, -1, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:02,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 10, -19, 10, -19, 9, -19, 10, -19, 9, -20, 9, -19, 8, -19, 8, -19, 7, -20, 6, -19, 7, -19, 7, -19, 6, -19, 5, -18, 5, -18, 6, -18, 5, -17, 5, -17, 5, -16, 5, -16, 5, -15, 5, -15, 5, -15, 5, -14, 5, -15, 5, 0, 0, -13, 5, -13, 5, -13, 6, -12, 6, -12, 6, -11, 7, -11, 6, -10, 7, -10, 7, -10, 7, -10, 7, -10, 7, -9, 7, -8, 7, -8, 8, -8, 7, -7, 8, -6, 8, -6, 8, -6, 8, -5, 8, -5, 8, -4, 8, -5, 8, -4, 8, -4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:05,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, -3, 7, -6, 9, -7, 8, -5, 8, -6, 8, -5, 9, -5, 8, -4, 8, -4, 8, -4, 8, -4, 8, -2, 7, -3, 9, -3, 8, -3, 8, -3, 8, -2, 7, -2, 7, -2, 7, -1, 7, -1, 6, -2, 6, -3, 6, -4, 6, -4, 6, -2, 0, 0, 5, -2, 6, -2, 5, -2, 6, -2, 6, -2, 5, -2, 4, -1, 4, -2, 4, -2, 4, -3, 4, -2, 5, -2, 4, -3, 4, -3, 3, -3, 4, -2, 3, -2, 3, -3, 3, -2, 4, -2, 3, -2, 3, -2, 2, -3, 2, -2, 3, -3, 2, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:08,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, -1, 7, -1, 7, -1, 7, -2, 7, -1, 7, -1, 7, -2, 7, -2, 7, -2, 7, -2, 7, -2, 6, -2, 6, -2, 7, -2, 6, -2, 6, -2, 6, -2, 6, -2, 6, -2, 6, -2, 6, -2, 6, -2, 6, -2, 5, -2, 6, 0, 0, -2, 5, -2, 5, -1, 5, -1, 5, -1, 5, -2, 5, -1, 5, -1, 5, -1, 5, 0, 5, -1, 5, 0, 5, 0, 5, 0, 5, -1, 5, 0, 5, 0, 5, 0, 4, 0, 4, 0, 5, 0, 5, 0, 4, 0, 4, 0, 4, 0, 4, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:13:11,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 20, -1, 20, -1, 20, -2, 20, -3, 20, -4, 19, -4, 19, -5, 19, -5, 19, -4, 19, -5, 19, -5, 18, -6, 18, -5, 17, -5, 17, -5, 17, -4, 16, -6, 16, -5, 16, -5, 15, -5, 15, -5, 15, -4, 15, -4, 14, -4, 14, 0, 0, -3, 13, -3, 13, -2, 13, -2, 12, -2, 13, -2, 12, -2, 12, -2, 12, -1, 11, 0, 11, 0, 11, 1, 11, 1, 11, 1, 11, 1, 11, 2, 10, 3, 10, 2, 10, 2, 10, 3, 10, 3, 9, 4, 9, 3, 9, 4, 9, 4, 8, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
